n,r,m
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: mother}],"(:Character {id: Selene, label: Selene, type: goddess})"
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: sibling}],"(:Character {id: Ersa, label: Ersa, type: goddess})"
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Dionysus, label: Dionysus, type: Greek deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Hypnos, label: Hypnos, type: Greek deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Eurynome, label: Eurynome, type: Okeanid})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Dionysus, label: Dionysus, type: nature deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: sibling}],"(:Character {id: Carpo, label: Carpo, type: Greek deity})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Thalia, label: Thalia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})"
"(:Character {id: Thalia, label: Thalia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})"
"(:Character {id: Thalia, label: Thalia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Euphrosyne, label: Euphrosyne, type: Greek deity})"
"(:Character {id: Thalia, label: Thalia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Thalia, label: Thalia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Eurynome, label: Eurynome, type: Okeanid})"
"(:Character {id: Thalia, label: Thalia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Thalia, label: Thalia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Thalia, label: Thalia, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Adranus, label: Adranus, type: Greek deity})"
"(:Character {id: Thalia, label: Thalia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Hebe, label: Hebe, type: Olympian god})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Hebe, label: Hebe, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Hebe, label: Hebe, type: Olympian god})",[:RELATED {type: spouse}],"(:Character {id: Heracles, label: Heracles, type: demigod of Greek mythology})"
"(:Character {id: Hebe, label: Hebe, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Hebe, label: Hebe, type: Olympian god})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Hebe, label: Hebe, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Hebe, label: Hebe, type: Olympian god})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Hebe, label: Hebe, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Demeter, label: Demeter, type: Greek deity})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Asteria, label: Asteria, type: titan})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: father}],"(:Character {id: Perses, label: Perses, type: titan})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Demeter, label: Demeter, type: goddess})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Hecate, label: Hecate, type: goddess})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Zagreus, label: Zagreus, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Persephone, label: Persephone, type: Greek deity})"
"(:Character {id: Zagreus, label: Zagreus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Zagreus, label: Zagreus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Hades, label: Hades, type: Olympian god})"
"(:Character {id: Zagreus, label: Zagreus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Zagreus, label: Zagreus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Hades, label: Hades, type: death deity})"
"(:Character {id: Zagreus, label: Zagreus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Zagreus, label: Zagreus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Hades, label: Hades, type: Greek deity})"
"(:Character {id: Zagreus, label: Zagreus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Calligeneia, label: Calligeneia, type: mythological Greek character})",[:RELATED {type: mother}],"(:Character {id: Demeter, label: Demeter, type: Greek deity})"
"(:Character {id: Calligeneia, label: Calligeneia, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Calligeneia, label: Calligeneia, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Calligeneia, label: Calligeneia, type: mythological Greek character})",[:RELATED {type: mother}],"(:Character {id: Demeter, label: Demeter, type: goddess})"
"(:Character {id: Calligeneia, label: Calligeneia, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Calligeneia, label: Calligeneia, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Adrasteia, label: Adrasteia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Adrasteia, label: Adrasteia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Adrasteia, label: Adrasteia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Adrasteia, label: Adrasteia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Ananke, label: Ananke, type: allegory})"
"(:Character {id: Adrasteia, label: Adrasteia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Amalthea, label: Amalthea, type: Okeanid})"
"(:Character {id: Adrasteia, label: Adrasteia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Adrasteia, label: Adrasteia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Adrasteia, label: Adrasteia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Adrasteia, label: Adrasteia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Ida, label: Ida, type: Greek nymph})"
"(:Character {id: Adrasteia, label: Adrasteia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Eirene, label: Eirene, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})"
"(:Character {id: Eirene, label: Eirene, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})"
"(:Character {id: Eirene, label: Eirene, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Eirene, label: Eirene, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Eirene, label: Eirene, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Dike, label: Dike, type: Greek deity})"
"(:Character {id: Eirene, label: Eirene, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Eirene, label: Eirene, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Eirene, label: Eirene, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Angelos, label: Angelos, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Angelos, label: Angelos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Angelos, label: Angelos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Angelos, label: Angelos, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Angelos, label: Angelos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Angelos, label: Angelos, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Angelos, label: Angelos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Caerus, label: Caerus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Caerus, label: Caerus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Caerus, label: Caerus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Caerus, label: Caerus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Melinoe, label: Melinoe, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Persephone, label: Persephone, type: Greek deity})"
"(:Character {id: Melinoe, label: Melinoe, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Melinoe, label: Melinoe, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Melinoe, label: Melinoe, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Melinoe, label: Melinoe, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Athena, label: Athena, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Athena, label: Athena, type: Olympian god})",[:RELATED {type: mother}],"(:Character {id: Metis, label: Metis, type: Okeanid})"
"(:Character {id: Athena, label: Athena, type: Olympian god})",[:RELATED {type: mother}],"(:Character {id: Coryphe, label: Coryphe, type: Okeanid})"
"(:Character {id: Athena, label: Athena, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Athena, label: Athena, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Athena, label: Athena, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Apollo, label: Apollo, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Artemis, label: Artemis, type: Olympian god})"
"(:Character {id: Apollo, label: Apollo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Apollo, label: Apollo, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Artemis, label: Artemis, type: lunar deity})"
"(:Character {id: Apollo, label: Apollo, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Leto, label: Leto, type: titan})"
"(:Character {id: Apollo, label: Apollo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Apollo, label: Apollo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Apollo, label: Apollo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Artemis, label: Artemis, type: Olympian god})",[:RELATED {type: sibling}],"(:Character {id: Apollo, label: Apollo, type: Greek deity})"
"(:Character {id: Artemis, label: Artemis, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Artemis, label: Artemis, type: Olympian god})",[:RELATED {type: sibling}],"(:Character {id: Apollo, label: Apollo, type: solar deity})"
"(:Character {id: Artemis, label: Artemis, type: Olympian god})",[:RELATED {type: mother}],"(:Character {id: Leto, label: Leto, type: titan})"
"(:Character {id: Artemis, label: Artemis, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Artemis, label: Artemis, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Artemis, label: Artemis, type: Olympian god})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Basileia, label: Basileia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Basileia, label: Basileia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Basileia, label: Basileia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Basileia, label: Basileia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Basileia, label: Basileia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Basileia, label: Basileia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Basileia, label: Basileia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Aphrodite, label: Aphrodite, type: fertility deity})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Eris, label: Eris, type: Greek deity})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Aphrodite, label: Aphrodite, type: goddess})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Aphrodite, label: Aphrodite, type: Greek deity})"
"(:Character {id: Ares, label: Ares, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Aphrodite, label: Aphrodite, type: Olympian god})"
"(:Character {id: Dionysus, label: Dionysus, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Demeter, label: Demeter, type: Greek deity})"
"(:Character {id: Dionysus, label: Dionysus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Dionysus, label: Dionysus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Dionysus, label: Dionysus, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Demeter, label: Demeter, type: goddess})"
"(:Character {id: Dionysus, label: Dionysus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Dionysus, label: Dionysus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Ares, label: Ares, type: Greek deity})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Aphrodite, label: Aphrodite, type: fertility deity})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Aphrodite, label: Aphrodite, type: goddess})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Ares, label: Ares, type: Olympian god})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Ares, label: Ares, type: war deity})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Aphrodite, label: Aphrodite, type: Greek deity})"
"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Aphrodite, label: Aphrodite, type: Olympian god})"
"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Thalia, label: Thalia, type: Greek deity})"
"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})"
"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Euphrosyne, label: Euphrosyne, type: Greek deity})"
"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Eurynome, label: Eurynome, type: Okeanid})"
"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Thalia, label: Thalia, type: Greek nymph})"
"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Despoina, label: Despoina, type: Greek deity})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Demeter, label: Demeter, type: Greek deity})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Hades, label: Hades, type: Olympian god})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Styx, label: Styx, type: Okeanid})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Despoina, label: Despoina, type: mythological Greek character})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Demeter, label: Demeter, type: goddess})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Hades, label: Hades, type: death deity})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Hades, label: Hades, type: Greek deity})"
"(:Character {id: Persephone, label: Persephone, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Eirene, label: Eirene, type: Greek deity})"
"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})"
"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Eirene, label: Eirene, type: personification})"
"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})",[:RELATED {type: father}],"(:Character {id: Nomos, label: Nomos, type: Greek deity})"
"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})",[:RELATED {type: mother}],"(:Character {id: Eusebia, label: Eusebia, type: daemon})"
"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Carpo, label: Carpo, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})"
"(:Character {id: Carpo, label: Carpo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
